ID;TITLE;YEAR;RUNTIME;RANK
2065;The Treasure of the Sierra Madre;1948;126;66
2115;Million Dollar Baby;2004;132;116
2089;No Country for Old Men;2007;122;90
2009;Star Wars : Episode V - The Empire Strikes Back;1980;190;10
2070;Singin' in the Rain;1952;103;71
2175;Kill Bill : Vol. 2;2004;136;176
2169;Rocky;1976;119;170
2159;In Bruges;2008;107;160
2130;Stand by Me;1986;89;131
2063;The Third Man;1949;93;64
2006;Schindler's List;1993;190;7
2126;Gone with the Wind;1939;190;127
2080;Batman Begins;2005;140;81
2004;The Good,the Bad and the Ugly;1966;190;5
2052;Spirited Away;2001;125;53
2028;Memento;2000;113;29
2129;Groundhog Day;1993;101;130
2034;Forrest Gump;1994;142;35
2154;The Kid;1921;54;155
2101;The Deer Hunter;1978;182;102
2074;The Great Escape;1963;172;75
2118;The Wrestler;2008;109;119
2001;The Godfather;1972;175;2
2204;Little Miss Sunshine;2006;101;205
2144;Casino;1995;178;145
2137;Grave of the Fireflies;1988;190;138
2132;The Thing;1982;190;133
2076;Star Wars : Episode VI - Return of the Jedi;1983;190;77
2190;The Truman Show;1998;103;191
2014;Toy Story 3;2010;103;15
2077;Unforgiven;1992;131;78
2184;The 400 Blows;1959;92;185
2026;The Matrix;1999;136;27
2064;Das Boot;1981;190;65
2055;To Kill a Mockingbird;1962;129;56
2013;Star Wars : Episode IV - A New Hope;1977;190;14
2099;Donnie Darko;2001;190;100
2079;Jaws;1975;190;80
2083;On the Waterfront;1954;108;84
2150;The Killing;1956;85;151
2146;8 1/2;1963;138;147
2062;L.A. Confidential;1997;138;63
2021;Raiders of the Lost Ark;1981;115;22
2149;The Night of the Hunter;1955;92;150
2109;There Will Be Blood;2007;158;110
2042;Alien;1979;190;43
2205;Infernal Affairs;2002;190;206
2157;The Best Years of Our Lives;1946;172;158
2148;Judgment at Nuremberg;1961;186;149
2140;Ratatouille;2007;111;141
2024;The Usual Suspects;1995;106;25
2183;The African Queen;1951;105;184
2046;WALL-E;2008;98;47
2002;The Godfather Part II;1974;200;3
2174;Magnolia;1999;188;175
2128;Scarface;1983;190;129
2171;King Kong;1933;190;172
2019;The Lord of the Rings : The Fellowship of the Ring;2001;190;20
2008;One Flew Over the Cuckoo's Nest;1975;133;9
2158;The Exorcist;1973;190;159
2161;Good Will Hunting;1997;126;162
2023;Once Upon a Time in the West;1968;190;24
2082;Slumdog Millionaire;2008;120;83
2015;Casablanca;1942;102;16
2007;12 Angry Men;1957;96;8
2202;The Nightmare Before Christmas;1993;76;203
2122;Wild Strawberries;1957;91;123
2201;Crouching Tiger,Hidden Dragon;2000;120;202
2188;Crash;2004;190;189
2134;Dog Day Afternoon;1975;190;135
2133;Amores Perros;2000;190;134
2168;Big Fish;2003;125;169
2020;Rear Window;1954;112;21
2088;The Seventh Seal;1957;96;89
2038;American History X;1998;119;39
2032;Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb;1964;95;33
2075;Indiana Jones and the Last Crusade;1989;127;76
2179;Shadow of a Doubt;1943;108;180
2078;Bicycle Thieves;1948;190;79
2092;Heat;1995;170;93
2113;Into the Wild;2007;148;114
2084;Mr. Smith Goes to Washington;1939;129;85
2073;Downfall;2004;190;74
2018;City of God;2002;190;19
2173;Network;1976;121;174
2125;Trainspotting;1996;94;126
2203;Spartacus;1960;190;204
2138;Gandhi;1982;191;139
2068;2001 : A Space Odyssey;1968;190;69
2124;The Bourne Ultimatum;2007;115;125
2110;The Manchurian Candidate;1962;126;111
2136;The Wages of Fear;1953;190;137
2095;District 9;2009;112;96
2058;Eternal Sunshine of the Spotless Mind;2004;108;59
2182;Pirates of the Caribbean : The Curse of the Black Pearl;2003;143;183
2127;The Terminator;1984;108;128
2120;Life of Brian;1979;94;121
2069;Inglourious Basterds;2009;153;70
2176;Mystic River;2003;138;177
2097;Cool Hand Luke;1967;126;98
2094;Avatar;2009;190;95
2027;Se7en;1995;127;28
2207;Rain Man;1988;133;208
2195;Who's Afraid of Virginia Woolf?;1966;131;196
2208;Arsenic and Old Lace;1944;118;209
2206;The Adventures of Robin Hood;1938;102;207
2198;Barry Lyndon;1975;184;199
2191;My Neighbor Totoro;1988;86;192
2005;Pulp Fiction;1994;190;6
2187;Duck Soup;1933;68;188
2112;The Lion King;1994;89;113
2059;Requiem for a Dream;2000;100;60
2017;Fight Club;1999;139;18
2156;Sunrise : A Song of Two Humans;1927;106;157
2107;Platoon;1986;120;108
2041;Terminator 2 : Judgment Day;1991;190;42
2119;It Happened One Night;1934;105;120
2178;Letters from Iwo Jima;2006;141;179
2056;The Lives of Others;2006;137;57
2147;Diabolique;1955;116;148
2022;Psycho;1960;190;23
2151;The Princess Bride;1987;98;152
2131;The Graduate;1967;106;132
2096;Strangers on a Train;1951;92;97
2163;The Hustler;1961;134;164
2000;The Shawshank Redemption;1994;142;1
2170;A Streetcar Named Desire;1951;190;171
2087;Touch of Evil;1958;190;88
2196;The Conversation;1974;113;197
2177;Stalag 17;1953;116;178
2016;Goodfellas;1990;146;17
2114;The Big Sleep;1946;190;115
2172;Let the Right One In;2008;115;173
2061;Reservoir Dogs;1992;99;62
2181;Rope;1948;80;182
2040;Taxi Driver;1976;190;41
2152;How to Train Your Dragon;2010;98;153
2193;Planet of the Apes;1968;190;194
2142;Star Trek;2009;127;143
2123;Finding Nemo;2003;100;124
2049;The Departed;2006;151;50
2085;Blade Runner;1982;117;86
2053;Aliens;1986;190;54
2180;Brief Encounter;1945;86;181
2060;Chinatown;1974;130;61
2067;Modern Times;1936;87;68
2111;Ran;1985;162;112
2066;Life Is Beautiful;1997;190;67
2209;Howl's Moving Castle;2004;119;210
2153;The Wild Bunch;1969;190;154
2057;Double Indemnity;1944;190;58
2106;Annie Hall;1977;93;107
2011;The Lord of the Rings : The Return of the King;2003;190;12
2093;The Wizard of Oz;1939;101;94
2192;Toy Story 2;1999;190;193
2141;V for Vendetta;2006;132;142
2054;M;1931;99;55
2165;Ed Wood;1994;127;166
2029;It's a Wonderful Life;1946;190;30
2189;Patton;1970;172;190
2186;Bonnie and Clyde;1967;112;187
2162;Nights of Cabiria;1957;190;163
2116;Toy Story;1995;190;117
2103;The General;1926;190;104
2100;High Noon;1952;85;101
2039;American Beauty;1999;122;40
2090;Princess Mononoke;1997;134;91
2045;Amelie;2001;129;46
2108;Yojimbo;1961;75;109
2072;Amadeus;1984;190;73
2051;The Pianist;2002;190;52
2050;Paths of Glory;1957;87;51
2047;The Shining;1980;190;48
2043;Saving Private Ryan;1998;169;44
2194;Manhattan;1979;96;195
2117;Witness for the Prosecution;1957;111;118
2102;Snatch.;2000;102;103
2035;North by Northwest;1959;131;36
2155;Kind Hearts and Coronets;1949;106;156
2048;A Clockwork Orange;1971;136;49
2166;The Diving Bell and the Butterfly;2007;112;167
2145;The Gold Rush;1925;190;146
2003;Inception;2010;148;4
2012;Seven Samurai;1954;190;13
2160;Children of Men;2006;109;161
2135;The Secret in Their Eyes;2009;129;136
2081;Die Hard;1988;131;82
2167;Harvey;1950;104;168
2044;Lawrence of Arabia;1962;190;45
2037;Apocalypse Now;1979;190;38
2200;Monsters,Inc.;2001;92;201
2086;Hotel Rwanda;2004;121;87
2031;Sunset Blvd.;1950;190;32
2025;The Silence of the Lambs;1991;118;26
2036;Citizen Kane;1941;119;37
2033;The Professional;1994;190;34
2210;Changeling;2008;141;211
2185;Ikiru;1952;190;186
2139;Lock, Stock and Two Smoking Barrels;1998;190;140
2030;The Lord of the Rings : The Two Towers;2002;190;31
2105;The Big Lebowski;1998;117;106
2098;The Sixth Sense;1999;107;99
2121;Butch Cassidy and the Sundance Kid;1969;110;122
2104;Notorious;1946;101;105
2071;Full Metal Jacket;1987;116;72
2199;Roman Holiday;1953;190;200
2143;The Grapes of Wrath;1940;190;144
2010;The Dark Knight;2008;152;11
2197;Anatomy of a Murder;1959;160;198
2164;Rosemary's Baby;1968;136;165
2091;For a Few Dollars More;1965;132;92
